time,flow,neighbor_flow_1,hour,day_of_week,is_holiday,sin_hour,cos_hour,sin_day_of_week,cos_day_of_week
2018-01-01 00:00:00,113.08333333333333,91.25,0,0,1,0.0,1.0,0.0,1.0
2018-01-01 01:00:00,126.33333333333333,113.91666666666667,1,0,1,0.25881904510252074,0.9659258262890683,0.0,1.0
2018-01-01 02:00:00,90.58333333333333,73.0,2,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
2018-01-01 03:00:00,67.91666666666667,51.5,3,0,1,0.7071067811865476,0.7071067811865476,0.0,1.0
2018-01-01 04:00:00,54.5,34.666666666666664,4,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0
2018-01-01 05:00:00,56.583333333333336,35.416666666666664,5,0,1,0.9659258262890683,0.25881904510252074,0.0,1.0
2018-01-01 06:00:00,85.08333333333333,66.25,6,0,1,1.0,6.123233995736766e-17,0.0,1.0
2018-01-01 07:00:00,80.16666666666667,65.5,7,0,1,0.9659258262890683,-0.25881904510252063,0.0,1.0
2018-01-01 08:00:00,105.66666666666667,84.16666666666667,8,0,1,0.8660254037844387,-0.4999999999999998,0.0,1.0
2018-01-01 09:00:00,155.0,135.41666666666666,9,0,1,0.7071067811865476,-0.7071067811865475,0.0,1.0
2018-01-01 10:00:00,203.16666666666666,181.0,10,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0
2018-01-01 11:00:00,250.0,226.08333333333334,11,0,1,0.258819045102521,-0.9659258262890682,0.0,1.0
2018-01-01 12:00:00,281.6666666666667,262.4166666666667,12,0,1,1.2246467991473532e-16,-1.0,0.0,1.0
2018-01-01 13:00:00,312.4166666666667,272.0833333333333,13,0,1,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2018-01-01 14:00:00,330.1666666666667,285.5,14,0,1,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2018-01-01 15:00:00,291.25,283.6666666666667,15,0,1,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2018-01-01 16:00:00,298.25,247.25,16,0,1,-0.8660254037844385,-0.5000000000000004,0.0,1.0
2018-01-01 17:00:00,289.0833333333333,267.4166666666667,17,0,1,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2018-01-01 18:00:00,283.3333333333333,264.5,18,0,1,-1.0,-1.8369701987210297e-16,0.0,1.0
2018-01-01 19:00:00,255.58333333333334,233.16666666666666,19,0,1,-0.9659258262890684,0.2588190451025203,0.0,1.0
2018-01-01 20:00:00,216.25,188.58333333333334,20,0,1,-0.8660254037844386,0.5000000000000001,0.0,1.0
2018-01-01 21:00:00,193.41666666666666,199.58333333333334,21,0,1,-0.7071067811865477,0.7071067811865474,0.0,1.0
2018-01-01 22:00:00,169.25,171.5,22,0,1,-0.5000000000000004,0.8660254037844384,0.0,1.0
2018-01-01 23:00:00,121.16666666666667,119.5,23,0,1,-0.25881904510252157,0.9659258262890681,0.0,1.0
2018-01-02 00:00:00,81.25,84.16666666666667,0,1,0,0.0,1.0,0.7818314824680298,0.6234898018587336
2018-01-02 01:00:00,54.083333333333336,48.416666666666664,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
2018-01-02 02:00:00,36.083333333333336,30.833333333333332,2,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2018-01-02 03:00:00,52.583333333333336,44.75,3,1,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
2018-01-02 04:00:00,122.08333333333333,107.16666666666667,4,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2018-01-02 05:00:00,198.41666666666666,171.16666666666666,5,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2018-01-02 06:00:00,312.75,278.1666666666667,6,1,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2018-01-02 07:00:00,401.5,293.9166666666667,7,1,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2018-01-02 08:00:00,321.3333333333333,228.08333333333334,8,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2018-01-02 09:00:00,313.5,263.9166666666667,9,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
2018-01-02 10:00:00,329.9166666666667,274.6666666666667,10,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2018-01-02 11:00:00,313.6666666666667,261.3333333333333,11,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
2018-01-02 12:00:00,307.9166666666667,275.1666666666667,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2018-01-02 13:00:00,309.25,280.3333333333333,13,1,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
2018-01-02 14:00:00,353.6666666666667,311.0,14,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2018-01-02 15:00:00,339.6666666666667,314.5833333333333,15,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
2018-01-02 16:00:00,369.1666666666667,411.5833333333333,16,1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336
2018-01-02 17:00:00,374.1666666666667,448.9166666666667,17,1,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2018-01-02 18:00:00,308.9166666666667,331.25,18,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
2018-01-02 19:00:00,245.75,228.33333333333334,19,1,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
2018-01-02 20:00:00,202.5,208.08333333333334,20,1,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2018-01-02 21:00:00,174.66666666666666,195.5,21,1,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
2018-01-02 22:00:00,144.08333333333334,148.08333333333334,22,1,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
2018-01-02 23:00:00,88.75,86.83333333333333,23,1,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
2018-01-03 00:00:00,55.166666666666664,58.416666666666664,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2018-01-03 01:00:00,41.333333333333336,34.083333333333336,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2018-01-03 02:00:00,34.583333333333336,31.833333333333332,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2018-01-03 03:00:00,52.0,43.833333333333336,3,2,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434
